Oportunitats;ID;Grau;Universitat;Poblacio;Plaçes orientatives;Nota;Anàlisi Musical (*);Arts Escèniques (*);Biologia;Ciències Generals (*);Cor i tècnica Vocal (*);Dibuix Artístic;Dibuix Tècnic;Dibuix Tècnic aplicat a les Arts;Disseny;Física;Fonaments Artístics (Historia de l'Art);Funcionament de l’Empresa i Models de Negoci (Empresa);Geografia;Geologia i Ciències Ambientals (*);Història de la Música i de la Dansa (*);Història de l'Art;Literatura Castellana (*);Literatura Catalana (*);Literatura Dramàtica (*);Llengua i Cultura Gregues (Grec) (*);Llengua i Cultura Llatines (Llatí) (*);Matemàtiques;Matemàtiques Aplicades;Moviments culturals i artístics (*);Química;Tècniques d’Expressió Graficoplàstica (*);Tecnologia
8;81056;Dret / Criminologia (Simultaneïtat);UdG;Girona;15;8,76;;;;0,2;;;;;;;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;;;
8;41043;Dret / Criminologia i Polítiques Públiques de Prevenció (Simultaneïtat);UPF;Barcelona;20;10,776;;;;0,2;;;;;;;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;;;
8;11070;Dret / Gestió i Administració Pública (Simultaneïtat);UB;Barcelona;No encontrado;NS;;;0,1;;;;;;;0,1;;0,2;0,2;0,1;;0,1;;;;0,1;0,2;0,2;0,2;0,1;0,1;;0,2
8;21145;Dret / Relacions Internacionals (Simultaneïtat);UAB;Cerdanyola del Vallès;20;12,681;;;0,1;;;0,1;;0,1;0,1;0,1;0,1;0,2;0,2;0,1;;0,1;;;;0,1;0,2;0,2;0,2;0,1;0,1;0,1;
8;21109;Dret / Relacions Laborals (Simultaneïtat);UAB;Cerdanyola del Vallès;20;9,896;;;0,1;0,2;;;;;;;;0,2;0,2;0,1;;0,1;;;;0,1;0,2;0,2;0,2;0,1;;;
8;71083;Dret / Relacions Laborals i Recursos Humans (Simultaneïtat);URV;Tarragona;25;8,638;;;0,1;0,2;;;;;;;;0,2;0,2;0,1;;0,1;;;;0,1;0,2;0,2;0,2;0,1;;;
8;11103;Economia;UB;Barcelona;300;8,944;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
8;21070;Economia;UAB;Cerdanyola del Vallès;115;9,072;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
8;21110;Economia (Docència en Anglès);UAB;Cerdanyola del Vallès;40;8,77;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
8;41014;Economia;UPF;Barcelona;170;10,554;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
8;81016;Economia;UdG;Girona;50;8,758;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
8;71009;Economia;URV;Reus;50;7,548;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
9;81052;Economia / Administració i Direcció d'Empreses (Simultaneïtat);UdG;Girona;30;9,962;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
9;41034;Economia - Administració i Direcció d'Empreses / Dret (Agrupació de Simultaneïtat);UPF;Barcelona;90;11,426;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;0,2;;
10;91914;Economia / Estadística (Simultaneïtat);UB/UPC;Barcelona;20;10,9;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
